Productid,ProductName,Quantity,Type,Unit_Price,Existence,Salesid,Date_Sale,Producto,Cant,Client,Total,Payment_Method,ID,Productocompra,CantC,Date,Tot,DateCA,Ingresos,Egresos,Saldo
,,,,,,340,2021-12-06,Bolsas oscuras,31,Franchesca Coronado,133,Efectivo,340,Bolsas pequeñas,70,2023-02-01,350,2021-12-06,6939,2290,4649
,,,,,,341,2021-12-07,Aretes azules,60,Majo mata,462,Cheque,341,Azul oscuro,14,2022-09-01,70,2021-12-07,2818,2981,-163
,,,,,,342,2021-12-08,Aretes marmol,29,Diego Albanez,280,Tarjeta de credito,342,Tipico,26,2022-05-01,78,2021-12-08,1101,785,316
,,,,,,343,2021-12-09,Aretes grandes beige,46,Yolanda perez,33,Efectivo,343,Frosty trio,112,2021-05-01,224,2021-12-09,3992,3701,291
,,,,,,344,2021-12-10,Verde oscuro,100,Victor hugo,476,Efectivo,344,Colibri colorido,35,2023-04-01,70,2021-12-10,346,1255,-909
,,,,,,345,2021-12-11,Aretes purpura,71,Kevin Garcia,70,Efectivo,345,Frio,92,2023-03-01,368,2021-12-11,2588,1210,1378
,,,,,,346,2021-12-12,Purple,82,Pablo Andres,445,Efectivo,346,Verde oscuro,15,2021-10-01,75,2021-12-12,5209,1558,3651
,,,,,,347,2021-12-13,Aqua,98,Kevin Garcia,347,Efectivo,347,Flores otoño,119,2023-05-01,238,2021-12-13,4483,2417,2066
,,,,,,348,2021-12-14,Collar calido,12,Sofia ramos,275,Efectivo,348,Azul,73,2022-02-01,365,2021-12-14,1605,1634,-29
,,,,,,349,2021-12-15,Mar,49,Bennet Velasquez,97,Cheque,349,Aretes elegantes,99,2022-12-01,297,2021-12-15,4310,3876,434
,,,,,,350,2021-12-16,Baw,45,Yolanda perez,423,Efectivo,350,Bolsas rojas,47,2021-10-01,141,2021-12-16,5337,3170,2167
,,,,,,351,2021-12-17,Verano,13,Sofia ramos,305,Efectivo,351,Elegante verde,39,2022-06-01,195,2021-12-17,4604,3371,1233
,,,,,,352,2021-12-18,Aretes purpura,18,Pablo Andres,471,Efectivo,352,Black,69,2023-09-01,276,2021-12-18,1185,3717,-2532
,,,,,,353,2021-12-19,Frio,98,Kevin Garcia,161,Cheque,353,Flores verano,14,2022-11-01,28,2021-12-19,3143,3098,45
,,,,,,354,2021-12-20,Buho,33,Kevin ovando,312,Tarjeta de credito,354,Flores otoño,19,2021-04-01,76,2021-12-20,312,1838,-1526
,,,,,,355,2021-12-21,Mar,94,Bennet Velasquez,387,Efectivo,355,Bolsas amarillentas,107,2023-06-01,214,2021-12-21,2385,2059,326
,,,,,,356,2021-12-22,Invierno,50,Franchesca Coronado,335,Efectivo,356,Gallo curioso,39,2022-07-01,78,2021-12-22,6897,1364,5533
,,,,,,357,2021-12-23,Pescado naranja,93,Yolanda perez,400,Efectivo,357,Aretes marmol,114,2022-06-01,456,2021-12-23,4010,2974,1036
,,,,,,358,2021-12-24,Flores otoño,63,Bennet Velasquez,82,Efectivo,358,Flores otoño,115,2022-03-01,460,2021-12-24,1988,542,1446
,,,,,,359,2021-12-25,Bolsas amarillas,78,Diego Albanez,288,Efectivo,359,Aretes calcetin,24,2022-07-01,48,2021-12-25,3299,751,2548
,,,,,,360,2021-12-26,Caballito de mar,39,Franchesca Coronado,459,Cheque,360,Bolsas adornadas,33,2021-03-01,99,2021-12-26,5513,2326,3187
,,,,,,361,2021-12-27,Bolsas oscuras,98,Majo mata,214,Tarjeta de credito,361,Azul,22,2021-03-01,88,2021-12-27,4134,1398,2736
,,,,,,362,2021-12-28,Turquesa,68,Sofia ramos,243,Efectivo,362,Aretes celestes,42,2021-03-01,126,2021-12-28,6185,1246,4939
,,,,,,363,2021-12-29,Flor,74,Kevin Garcia,479,Efectivo,363,Charm,84,2021-02-01,336,2021-12-29,3776,2213,1563
,,,,,,364,2021-12-30,Aretes invierno,32,Sofia ramos,324,Tarjeta de credito,364,Aretes calcetin,93,2022-08-01,465,2021-12-30,3751,1500,2251
,,,,,,365,2021-12-31,Aretes marmol,58,Kevin Garcia,193,Efectivo,365,Cangrejo dorado,68,2023-05-01,340,2021-12-31,3360,1071,2289
,,,,,,366,2022-01-01,Gold and black,66,Franchesca Coronado,219,Efectivo,366,Aretes lila,53,2021-03-01,212,2022-01-01,6764,1213,5551
,,,,,,367,2022-01-02,Pescado naranja,68,Pablo Andres,422,Cheque,367,Aretes calidos,16,2023-01-01,48,2022-01-02,1950,1234,716
,,,,,,368,2022-01-03,Tribal,50,Pablo Andres,214,Tarjeta de credito,368,Bolsas amarillas,132,2021-11-01,396,2022-01-03,2812,2707,105
,,,,,,369,2022-01-04,Aretes celestes,19,Diego Albanez,214,Cheque,369,Aqua,37,2023-06-01,185,2022-01-04,5304,1488,3816
,,,,,,370,2022-01-05,Soleado,39,Pablo Andres,28,Tarjeta de credito,370,Invierno,46,2022-01-01,230,2022-01-05,2844,2375,469
,,,,,,371,2022-01-06,Guatemala,60,Sofia ramos,75,Efectivo,371,Tipico,64,2022-02-01,128,2022-01-06,390,3125,-2735
,,,,,,372,2022-01-07,Aretes calidos,17,Sofia ramos,466,Tarjeta de credito,372,Azul oscuro,42,2022-12-01,210,2022-01-07,6019,2334,3685
,,,,,,373,2022-01-08,Aretes elegantes,14,Kevin ovando,157,Cheque,373,Cascanueces,79,2022-12-01,316,2022-01-08,2605,1817,788
,,,,,,374,2022-01-09,Turquesa,26,Franchesca Coronado,385,Cheque,374,Flores verano,100,2021-01-01,400,2022-01-09,4130,3991,139
,,,,,,375,2022-01-10,Gallina celeste,53,Franchesca Coronado,359,Tarjeta de credito,375,Flores otoño,75,2021-11-01,225,2022-01-10,6420,3226,3194
,,,,,,376,2022-01-11,Guardia,14,Diego Albanez,365,Tarjeta de credito,376,Gallina celeste,91,2023-01-01,182,2022-01-11,3310,3700,-390
,,,,,,377,2022-01-12,Maiz,88,Victor hugo,47,Efectivo,377,Verde oscuro,141,2023-02-01,282,2022-01-12,827,3918,-3091
,,,,,,378,2022-01-13,Guardia,41,Victor hugo,427,Efectivo,378,Adornado,20,2023-08-01,80,2022-01-13,4820,2485,2335
,,,,,,379,2022-01-14,Rosado,71,Sofia ramos,259,Efectivo,379,Verano,67,2023-05-01,335,2022-01-14,6413,607,5806
,,,,,,380,2022-01-15,Aretes oscuros,36,Diego Albanez,428,Cheque,380,Pavorreal,47,2021-07-01,141,2022-01-15,1310,2765,-1455
,,,,,,381,2022-01-16,Azul oscuro,72,Diego Albanez,92,Tarjeta de credito,381,Rosa,61,2022-06-01,122,2022-01-16,5868,1296,4572
,,,,,,382,2022-01-17,Carnaval,19,Sofia ramos,84,Cheque,382,Black,115,2022-07-01,345,2022-01-17,3686,1235,2451
,,,,,,383,2022-01-18,Maiz,16,Victor hugo,481,Tarjeta de credito,383,Aretes europa,44,2023-07-01,88,2022-01-18,1476,3664,-2188
,,,,,,384,2022-01-19,Elegante verde,50,Diego Albanez,405,Cheque,384,Azul,57,2021-10-01,285,2022-01-19,6072,1596,4476
,,,,,,385,2022-01-20,Guatemala,45,Yolanda perez,298,Cheque,385,Chichicastenango,147,2022-12-01,441,2022-01-20,511,3102,-2591
,,,,,,386,2022-01-21,Cerdo volador,18,Victor hugo,246,Cheque,386,Aretes grandes beige,145,2021-04-01,435,2022-01-21,5317,689,4628
,,,,,,387,2022-01-22,Nebaj,62,Franchesca Coronado,57,Efectivo,387,Aretes turquesa,12,2021-02-01,60,2022-01-22,2413,3726,-1313
,,,,,,388,2022-01-23,Solola,71,Majo mata,127,Cheque,388,Pajaro rojo,62,2023-08-01,310,2022-01-23,2833,551,2282
,,,,,,389,2022-01-24,Purple,77,Bennet Velasquez,319,Cheque,389,Flores otoño,91,2022-06-01,455,2022-01-24,1150,2053,-903
,,,,,,390,2022-01-25,Calido,17,Bennet Velasquez,489,Efectivo,390,Aretes invierno,67,2022-10-01,335,2022-01-25,1555,3175,-1620
,,,,,,391,2022-01-26,Guardia,57,Franchesca Coronado,230,Efectivo,391,Aretes marmol,20,2021-07-01,80,2022-01-26,2480,1519,961
,,,,,,392,2022-01-27,Xelaju,37,Bennet Velasquez,300,Efectivo,392,Papá noel tren,112,2021-09-01,336,2022-01-27,1600,1943,-343
,,,,,,393,2022-01-28,Bastón de caramelo,72,Yolanda perez,218,Tarjeta de credito,393,Verde oscuro,143,2023-02-01,429,2022-01-28,6319,1804,4515
,,,,,,394,2022-01-29,Aretes calcetin,43,Yolanda perez,70,Cheque,394,Caballito de mar,135,2022-02-01,540,2022-01-29,2387,2833,-446
,,,,,,395,2022-01-30,Pajaro rojo,48,Diego Albanez,16,Efectivo,395,Aretes elegantes,130,2021-11-01,520,2022-01-30,4319,3400,919
,,,,,,396,2022-01-31,Tribal,74,Kevin ovando,50,Efectivo,396,Aretes verano,59,2023-08-01,236,2022-01-31,2009,3343,-1334
,,,,,,397,2022-02-01,Chichicastenango,72,Victor hugo,483,Tarjeta de credito,397,Aretes invierno,114,2022-02-01,456,2022-02-01,4615,2771,1844
,,,,,,398,2022-02-02,Aqua,69,Victor hugo,206,Efectivo,398,Black,69,2023-01-01,138,2022-02-02,2320,3275,-955
,,,,,,399,2022-02-03,Aretes calidos,61,Yolanda perez,68,Efectivo,399,Verano,119,2022-07-01,357,2022-02-03,507,3383,-2876
,,,,,,400,2022-02-04,Aguila,12,Victor hugo,27,Efectivo,400,Aretes calidos,100,2021-05-01,400,2022-02-04,6124,3021,3103
,,,,,,401,2022-02-05,Frosty en casa,62,Yolanda perez,371,Efectivo,401,Soleado,85,2021-11-01,255,2022-02-05,4617,1541,3076
,,,,,,402,2022-02-06,Azul oscuro,46,Diego Albanez,50,Efectivo,402,Tribal,74,2022-01-01,222,2022-02-06,739,2527,-1788
,,,,,,403,2022-02-07,Bolsas amarillentas,41,Majo mata,465,Efectivo,403,Rosa,35,2021-08-01,105,2022-02-07,3347,1686,1661
,,,,,,404,2022-02-08,Aguila,53,Kevin Garcia,426,Efectivo,404,Bolsas naranjas,30,2023-01-01,120,2022-02-08,2942,1567,1375
,,,,,,405,2022-02-09,Bolsas naranjas,98,Yolanda perez,373,Cheque,405,Aretes turquesa,65,2023-09-01,260,2022-02-09,5363,1216,4147
,,,,,,406,2022-02-10,Bolsas amarillas,47,Pablo Andres,105,Tarjeta de credito,406,Quiche,28,2021-04-01,112,2022-02-10,3239,3359,-120
,,,,,,407,2022-02-11,Bolsas rosadas,34,Kevin ovando,166,Cheque,407,Aretes hojas,34,2022-10-01,102,2022-02-11,799,1816,-1017
,,,,,,408,2022-02-12,Cascanueces,43,Sofia ramos,160,Efectivo,408,Flor,72,2022-02-01,288,2022-02-12,3098,3646,-548
,,,,,,409,2022-02-13,Aretes turquesa,39,Victor hugo,417,Tarjeta de credito,409,Rana,150,2022-09-01,300,2022-02-13,2024,3947,-1923
,,,,,,410,2022-02-14,Triangular,91,Franchesca Coronado,494,Efectivo,410,Calido,14,2022-09-01,56,2022-02-14,860,1159,-299
,,,,,,411,2022-02-15,Bastón de caramelo,48,Yolanda perez,490,Tarjeta de credito,411,Chichicastenango,96,2022-04-01,480,2022-02-15,5337,2973,2364
,,,,,,412,2022-02-16,Aguila,92,Diego Albanez,386,Tarjeta de credito,412,Cerdo volador,103,2021-07-01,412,2022-02-16,4244,970,3274
,,,,,,413,2022-02-17,Adornado,62,Victor hugo,485,Efectivo,413,Aretes calcetin,150,2022-03-01,300,2022-02-17,3474,1560,1914
,,,,,,414,2022-02-18,Bolsas pequeñas,23,Pablo Andres,44,Cheque,414,Maiz,106,2021-05-01,424,2022-02-18,2895,657,2238
,,,,,,415,2022-02-19,Aretes piedra,95,Majo mata,60,Efectivo,415,Bolsas naranjas,45,2021-09-01,135,2022-02-19,4820,3655,1165
,,,,,,416,2022-02-20,Maiz,36,Diego Albanez,315,Cheque,416,Collar simple morado,127,2023-09-01,508,2022-02-20,2367,3785,-1418
,,,,,,417,2022-02-21,Elegante verde,24,Victor hugo,49,Efectivo,417,Morado claro,46,2023-04-01,184,2022-02-21,5327,2139,3188
,,,,,,418,2022-02-22,Bolsas rojas,14,Sofia ramos,299,Cheque,418,Papa noel,130,2021-04-01,520,2022-02-22,5921,1825,4096
,,,,,,419,2022-02-23,Flores verano,45,Franchesca Coronado,16,Cheque,419,Frosty trio,87,2022-10-01,435,2022-02-23,6403,2484,3919
,,,,,,420,2022-02-24,Collar calido,100,Pablo Andres,179,Cheque,420,Collar simple morado,98,2021-03-01,196,2022-02-24,4992,2479,2513
,,,,,,421,2022-02-25,Collar calido,21,Sofia ramos,354,Cheque,421,Black,131,2022-05-01,655,2022-02-25,2119,502,1617
,,,,,,422,2022-02-26,Congelado,37,Diego Albanez,458,Efectivo,422,Nebaj,52,2023-03-01,104,2022-02-26,6074,1975,4099
,,,,,,423,2022-02-27,Quiche,51,Kevin Garcia,244,Efectivo,423,Adornado,29,2022-02-01,116,2022-02-27,956,2594,-1638
,,,,,,424,2022-02-28,La mirada,35,Pablo Andres,29,Cheque,424,Aguila,106,2021-10-01,530,2022-02-28,5282,745,4537
,,,,,,425,2022-03-01,La mirada,52,Pablo Andres,449,Tarjeta de credito,425,Quiche,36,2022-10-01,180,2022-03-01,4866,2024,2842
,,,,,,426,2022-03-02,Aretes circulares,21,Kevin Garcia,286,Tarjeta de credito,426,Bolsas oscuras,57,2022-07-01,171,2022-03-02,3244,2839,405
,,,,,,427,2022-03-03,Azul,50,Diego Albanez,454,Efectivo,427,Aquamarino,50,2022-11-01,150,2022-03-03,6366,1758,4608
,,,,,,428,2022-03-04,Aretes morados,56,Victor hugo,129,Tarjeta de credito,428,Bolsas amarillentas,62,2021-02-01,124,2022-03-04,6857,3894,2963
,,,,,,429,2022-03-05,Aretes grandes beige,36,Yolanda perez,348,Tarjeta de credito,429,Maiz,18,2021-11-01,72,2022-03-05,6931,974,5957
,,,,,,430,2022-03-06,Cascanueces,54,Majo mata,65,Cheque,430,Verano,99,2023-09-01,495,2022-03-06,1181,810,371
,,,,,,431,2022-03-07,Bolsas pequeñas,73,Bennet Velasquez,144,Tarjeta de credito,431,Aretes europa,29,2021-07-01,58,2022-03-07,1926,3527,-1601
,,,,,,432,2022-03-08,Guardia,27,Kevin ovando,414,Tarjeta de credito,432,Pajaro rojo,47,2021-05-01,141,2022-03-08,5001,3712,1289
,,,,,,433,2022-03-09,Naranja verano,50,Franchesca Coronado,156,Efectivo,433,Aguas escondidas,139,2023-03-01,417,2022-03-09,6391,1848,4543
,,,,,,434,2022-03-10,Aretes elegantes,95,Bennet Velasquez,56,Efectivo,434,Verano,131,2021-04-01,655,2022-03-10,5843,821,5022
,,,,,,435,2022-03-11,Aretes invierno,41,Diego Albanez,479,Efectivo,435,Bolsas rosadas,90,2023-03-01,180,2022-03-11,2815,1036,1779
,,,,,,436,2022-03-12,Flor,67,Majo mata,135,Tarjeta de credito,436,Aretes azules,129,2021-02-01,516,2022-03-12,1497,1279,218
,,,,,,437,2022-03-13,Verano,47,Yolanda perez,173,Tarjeta de credito,437,Verde oscuro,106,2021-01-01,530,2022-03-13,2376,3859,-1483
,,,,,,438,2022-03-14,Tribal,27,Sofia ramos,114,Tarjeta de credito,438,Chichicastenango,29,2021-12-01,87,2022-03-14,3855,526,3329
,,,,,,439,2022-03-15,Aquamarino,54,Bennet Velasquez,361,Efectivo,439,Bolsas amarillentas,57,2021-09-01,114,2022-03-15,2407,2132,275
,,,,,,440,2022-03-16,Solola,15,Diego Albanez,140,Efectivo,440,Morado claro,44,2022-02-01,220,2022-03-16,3838,2050,1788
,,,,,,441,2022-03-17,Pajaro rojo,84,Sofia ramos,479,Efectivo,441,Bolsas adornadas,113,2021-06-01,339,2022-03-17,3011,1844,1167
,,,,,,442,2022-03-18,Aretes oscuros,78,Kevin ovando,295,Tarjeta de credito,442,Colibri colorido,63,2022-10-01,126,2022-03-18,2232,811,1421
,,,,,,443,2022-03-19,Purple,56,Victor hugo,218,Efectivo,443,Pescado naranja,35,2022-06-01,175,2022-03-19,6849,3206,3643
,,,,,,444,2022-03-20,Guardia,52,Bennet Velasquez,115,Tarjeta de credito,444,Gallo curioso,64,2021-03-01,128,2022-03-20,2348,3873,-1525
,,,,,,445,2022-03-21,Bolsas coloridas,59,Diego Albanez,366,Tarjeta de credito,445,Flor primavera,100,2021-08-01,300,2022-03-21,3699,1923,1776
,,,,,,446,2022-03-22,Nebaj,34,Kevin ovando,317,Tarjeta de credito,446,Aretes elegantes,68,2021-09-01,272,2022-03-22,6568,2778,3790
,,,,,,447,2022-03-23,Frosty trio,59,Diego Albanez,218,Tarjeta de credito,447,Charm,63,2021-05-01,252,2022-03-23,1154,2318,-1164
,,,,,,448,2022-03-24,Aguila,75,Sofia ramos,470,Cheque,448,Purpura,39,2021-11-01,117,2022-03-24,2688,3741,-1053
,,,,,,449,2022-03-25,Tejido,31,Franchesca Coronado,433,Tarjeta de credito,449,Bolsas rosadas,46,2022-11-01,184,2022-03-25,4177,3126,1051
,,,,,,450,2022-03-26,Aretes azules,79,Sofia ramos,428,Efectivo,450,Aretes Plateados,85,2023-01-01,340,2022-03-26,1200,2998,-1798
,,,,,,451,2022-03-27,Bolsas oscuras,79,Victor hugo,113,Tarjeta de credito,451,Xelaju,64,2022-12-01,320,2022-03-27,6858,1078,5780
,,,,,,452,2022-03-28,Bolsas adornadas,79,Diego Albanez,358,Efectivo,452,La mirada,11,2022-12-01,22,2022-03-28,5716,2027,3689
,,,,,,453,2022-03-29,Bolsas con dorado,38,Bennet Velasquez,135,Tarjeta de credito,453,Bolsas con dorado,136,2023-07-01,680,2022-03-29,3611,3148,463
,,,,,,454,2022-03-30,Flor primavera,40,Yolanda perez,239,Tarjeta de credito,454,Mar,16,2023-08-01,64,2022-03-30,2531,712,1819
,,,,,,455,2022-03-31,Gallina celeste,90,Majo mata,267,Tarjeta de credito,455,Chimaltenango,130,2023-06-01,520,2022-03-31,623,1891,-1268
,,,,,,456,2022-04-01,Rana,50,Kevin Garcia,497,Efectivo,456,Rosado,149,2023-05-01,447,2022-04-01,2465,2246,219
,,,,,,457,2022-04-02,Bastón de caramelo,28,Kevin ovando,229,Tarjeta de credito,457,Bolsas amarillas,149,2023-05-01,596,2022-04-02,5921,3068,2853
,,,,,,458,2022-04-03,Tribal,62,Majo mata,216,Tarjeta de credito,458,Flor primavera,100,2021-05-01,200,2022-04-03,4340,1835,2505
,,,,,,459,2022-04-04,Aretes grandes beige,75,Franchesca Coronado,344,Efectivo,459,San andres,148,2022-09-01,296,2022-04-04,5408,3949,1459
,,,,,,460,2022-04-05,Aretes sombrero,26,Yolanda perez,91,Efectivo,460,Chimaltenango,61,2022-02-01,122,2022-04-05,669,1768,-1099
,,,,,,461,2022-04-06,Flores verano,26,Majo mata,159,Efectivo,461,Aretes coloridos,119,2023-01-01,595,2022-04-06,2595,728,1867
,,,,,,462,2022-04-07,Aguas escondidas,92,Victor hugo,134,Tarjeta de credito,462,Bolsas amarillentas,23,2022-08-01,69,2022-04-07,291,3772,-3481
,,,,,,463,2022-04-08,Triangular,29,Diego Albanez,328,Tarjeta de credito,463,Aretes elegantes,93,2022-02-01,465,2022-04-08,1320,2002,-682
,,,,,,464,2022-04-09,Aretes turquesa,24,Kevin Garcia,500,Tarjeta de credito,464,Aretes lila,31,2022-03-01,62,2022-04-09,1430,2305,-875
,,,,,,465,2022-04-10,Flor primavera,62,Majo mata,34,Tarjeta de credito,465,Bolsas rosadas,48,2021-04-01,144,2022-04-10,1231,1319,-88
,,,,,,466,2022-04-11,Tribal,94,Majo mata,259,Tarjeta de credito,466,Aretes turquesa,141,2023-08-01,423,2022-04-11,1572,578,994
,,,,,,467,2022-04-12,Bolsas amarillas,52,Sofia ramos,364,Tarjeta de credito,467,Aguas escondidas,126,2022-11-01,378,2022-04-12,3066,1795,1271
,,,,,,468,2022-04-13,Aretes azules,32,Victor hugo,333,Efectivo,468,Bolsas naranjas,95,2022-02-01,285,2022-04-13,2965,775,2190
,,,,,,469,2022-04-14,Collar simple morado,70,Pablo Andres,22,Cheque,469,Blanco y negro,70,2023-02-01,210,2022-04-14,5592,1493,4099
,,,,,,470,2022-04-15,Semi oscura,21,Pablo Andres,40,Cheque,470,Aguila,27,2023-08-01,108,2022-04-15,918,989,-71
,,,,,,471,2022-04-16,Aquamarino,69,Diego Albanez,363,Tarjeta de credito,471,Aquamarino,120,2023-09-01,240,2022-04-16,200,2216,-2016
,,,,,,472,2022-04-17,Gallina celeste,11,Franchesca Coronado,54,Efectivo,472,Black,120,2022-07-01,480,2022-04-17,2324,929,1395
,,,,,,473,2022-04-18,Quiche,28,Kevin ovando,100,Tarjeta de credito,473,Aqua,134,2023-02-01,402,2022-04-18,2201,1592,609
,,,,,,474,2022-04-19,Antigua,12,Franchesca Coronado,459,Efectivo,474,Aretes calcetin,132,2023-09-01,264,2022-04-19,4078,2118,1960
,,,,,,475,2022-04-20,Aretes circulares,57,Bennet Velasquez,261,Cheque,475,Adornado,17,2022-10-01,51,2022-04-20,3354,797,2557
,,,,,,476,2022-04-21,Bolsas oscuras,35,Pablo Andres,308,Tarjeta de credito,476,Flores otoño,87,2023-08-01,435,2022-04-21,1853,804,1049
,,,,,,477,2022-04-22,Verde oscuro,70,Bennet Velasquez,471,Cheque,477,Aretes invierno,134,2021-06-01,268,2022-04-22,6492,726,5766
,,,,,,478,2022-04-23,Aretes marmol,87,Sofia ramos,166,Cheque,478,Flor,79,2021-12-01,237,2022-04-23,4407,1303,3104
,,,,,,479,2022-04-24,Blanco y negro,95,Franchesca Coronado,196,Cheque,479,Aretes coloridos,98,2023-06-01,196,2022-04-24,1919,2535,-616
,,,,,,480,2022-04-25,Gold and black,50,Franchesca Coronado,311,Cheque,480,Colibri colorido,30,2023-07-01,150,2022-04-25,4411,3025,1386
,,,,,,481,2022-04-26,Bolsas oscuras,93,Pablo Andres,313,Efectivo,481,Verde oscuro,105,2022-09-01,210,2022-04-26,5110,3739,1371
,,,,,,482,2022-04-27,Flores otoño,78,Yolanda perez,291,Tarjeta de credito,482,Papa noel,81,2021-02-01,243,2022-04-27,904,3211,-2307
,,,,,,483,2022-04-28,Flor primavera,37,Diego Albanez,414,Tarjeta de credito,483,La mirada,96,2023-07-01,192,2022-04-28,3534,648,2886
,,,,,,484,2022-04-29,Mar,59,Pablo Andres,225,Efectivo,484,Pajaro rojo,12,2021-12-01,60,2022-04-29,3530,2582,948
,,,,,,485,2022-04-30,Tipico,55,Sofia ramos,134,Cheque,485,Aretes morados,104,2021-05-01,520,2022-04-30,6629,3590,3039
,,,,,,486,2022-05-01,Aretes purpura,31,Kevin Garcia,407,Tarjeta de credito,486,Azul oscuro,21,2021-06-01,84,2022-05-01,3543,3027,516
,,,,,,487,2022-05-02,Cangrejo dorado,87,Kevin Garcia,104,Cheque,487,Aretes Plateados,124,2022-11-01,248,2022-05-02,817,3293,-2476
,,,,,,488,2022-05-03,Dorado,98,Kevin Garcia,47,Efectivo,488,Dorado,31,2023-02-01,93,2022-05-03,6775,1070,5705
,,,,,,489,2022-05-04,Chichicastenango,43,Victor hugo,49,Efectivo,489,Solola,64,2021-12-01,192,2022-05-04,3498,3466,32
,,,,,,490,2022-05-05,Papá noel tren,85,Majo mata,443,Efectivo,490,Aretes morados,137,2022-01-01,411,2022-05-05,3415,3519,-104
,,,,,,491,2022-05-06,Frio,43,Sofia ramos,239,Cheque,491,Guatemala,21,2022-11-01,63,2022-05-06,5349,1821,3528
,,,,,,492,2022-05-07,Frosty trio,16,Victor hugo,480,Cheque,492,Naranja verano,32,2022-09-01,160,2022-05-07,5735,733,5002
,,,,,,493,2022-05-08,Bolsas pequeñas,44,Majo mata,37,Tarjeta de credito,493,Dorado,109,2021-03-01,218,2022-05-08,723,3520,-2797
,,,,,,494,2022-05-09,Gallina celeste,27,Victor hugo,252,Tarjeta de credito,494,Carnaval,50,2023-09-01,250,2022-05-09,3788,1495,2293
,,,,,,495,2022-05-10,Verde oscuro,13,Diego Albanez,259,Efectivo,495,Cerdo volador,54,2023-03-01,216,2022-05-10,5887,2255,3632
,,,,,,496,2022-05-11,Charm,93,Kevin ovando,140,Tarjeta de credito,496,Chimaltenango,69,2023-07-01,345,2022-05-11,2457,3688,-1231
,,,,,,497,2022-05-12,Azul,80,Victor hugo,115,Cheque,497,Antigua,106,2023-04-01,318,2022-05-12,620,2354,-1734
,,,,,,498,2022-05-13,Aretes calidos,31,Yolanda perez,41,Efectivo,498,Solola,67,2023-09-01,335,2022-05-13,4217,1085,3132
,,,,,,499,2022-05-14,Aretes hojas,43,Majo mata,53,Efectivo,499,Semi oscura,102,2022-11-01,408,2022-05-14,5411,3886,1525
,,,,,,500,2022-05-15,Bolsas rosadas,41,Kevin ovando,343,Cheque,500,Turquesa,29,2021-01-01,58,2022-05-15,3302,1301,2001
,,,,,,501,2022-05-16,Bolsas naranjas,63,Majo mata,306,Tarjeta de credito,501,Collar simple morado,72,2021-06-01,216,2022-05-16,4050,3219,831
,,,,,,502,2022-05-17,Aretes circulares,90,Sofia ramos,420,Efectivo,502,Naranja verano,78,2023-09-01,234,2022-05-17,2222,3938,-1716
,,,,,,503,2022-05-18,Verano,81,Victor hugo,172,Cheque,503,Aretes coloridos,20,2023-03-01,80,2022-05-18,6753,2503,4250
,,,,,,504,2022-05-19,Aretes sombrero,22,Yolanda perez,14,Tarjeta de credito,504,Pavorreal,49,2021-10-01,98,2022-05-19,6479,630,5849
,,,,,,505,2022-05-20,Aretes grandes beige,35,Franchesca Coronado,260,Cheque,505,Turquesa,91,2021-06-01,273,2022-05-20,6807,3265,3542
,,,,,,506,2022-05-21,La mirada,32,Yolanda perez,231,Cheque,506,Aguila,41,2021-05-01,164,2022-05-21,1597,1044,553
,,,,,,507,2022-05-22,Turquesa,20,Pablo Andres,180,Cheque,507,Maiz,33,2022-03-01,132,2022-05-22,3937,1843,2094
,,,,,,508,2022-05-23,Aretes lila,92,Kevin ovando,399,Cheque,508,Antigua,136,2022-03-01,272,2022-05-23,4079,1954,2125
,,,,,,509,2022-05-24,Aretes coloridos,94,Bennet Velasquez,338,Efectivo,509,Flores otoño,68,2022-10-01,204,2022-05-24,6399,1731,4668
,,,,,,510,2022-05-25,Pescado naranja,34,Bennet Velasquez,498,Cheque,510,Aretes circulares,39,2022-11-01,195,2022-05-25,1034,3686,-2652
,,,,,,511,2022-05-26,Gold and black,32,Sofia ramos,166,Tarjeta de credito,511,Bolsas amarillentas,101,2022-06-01,404,2022-05-26,346,1532,-1186
,,,,,,512,2022-05-27,Naturaleza,73,Diego Albanez,309,Tarjeta de credito,512,Aretes oscuros,134,2023-02-01,536,2022-05-27,4267,2011,2256
,,,,,,513,2022-05-28,Frosty trio,68,Bennet Velasquez,360,Tarjeta de credito,513,Black,64,2021-02-01,320,2022-05-28,2708,1972,736
,,,,,,514,2022-05-29,Aretes turquesa,50,Pablo Andres,497,Tarjeta de credito,514,Aretes celestes,72,2022-02-01,144,2022-05-29,2584,3234,-650
,,,,,,515,2022-05-30,Collar calido,10,Pablo Andres,275,Efectivo,515,Bolsas rosadas,15,2023-07-01,75,2022-05-30,5465,2506,2959
,,,,,,516,2022-05-31,Black,52,Sofia ramos,120,Tarjeta de credito,516,Frio,18,2022-05-01,54,2022-05-31,5943,3842,2101
,,,,,,517,2022-06-01,Lorito colorido,51,Victor hugo,156,Efectivo,517,Papá noel tren,90,2021-03-01,180,2022-06-01,2781,549,2232
,,,,,,518,2022-06-02,Aretes lila,50,Pablo Andres,171,Tarjeta de credito,518,Bolsas adornadas,127,2023-04-01,635,2022-06-02,4666,2204,2462
,,,,,,519,2022-06-03,Dorado,52,Franchesca Coronado,116,Cheque,519,Antigua,12,2021-09-01,24,2022-06-03,5718,853,4865
